StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q33,Q1-1,Q1-2,Q2-2-a_1,Q28_1,Q31_First Click,Q31_Last Click,Q31_Page Submit,Q31_Click Count,Q2-3,Q2-4-1,Q2-4-2_10,Q2-4-2_11,Q2-4-2_12,Q2-4-2_13,Q2-4-2_14,Q2-4-2_15,Q2-4-2_16,Q2-4-3_1,Q2-4-3_2,Q2-4-3_13,Q2-4-3_3,Q2-4-3_4,Q2-4-3_5,Q2-4-3_6,Q21_First Click,Q21_Last Click,Q21_Page Submit,Q21_Click Count,Q30_First Click,Q30_Last Click,Q30_Page Submit,Q30_Click Count,Q32_First Click,Q32_Last Click,Q32_Page Submit,Q32_Click Count,Q4-1-1,Q4-1-2,Q4-1-3_1,Q4-1-3_2,Q4-1-3_13,Q4-1-3_3,Q4-1-3_4,Q4-1-3_5,Q4-1-3_6,Q26_10,Q26_11,Q26_12,Q26_13,Q26_14,Q26_15,Q26_16,Q27_1,Q27_2,Q27_13,Q27_3,Q27_4,Q27_5,Q27_6,Q27_14,Q27_15,Q27_16,Q27_17,Q27_18,Q27_19,Q27_20,Q4-1-4_7,Q4-2-1,Q4-2-2,Q2-1-1,Q2-1-1_4_TEXT,Q2-1-2,Q2-1-2_3_TEXT,Q2-1-3,intent,Group,solutionOneEmpty,solutionTwoEmpty,solutionThreeEmpty,solutionFourEmpty,solutionFiveEmpty,solutionSixEmpty,solutionSevenEmpty,newSolutionOneEmpty,newSolutionTwoEmpty,newSolutionThreeEmpty,newSolutionFourEmpty,newSolutionFiveEmpty,newSolutionSixEmpty,newSolutionSevenEmpty
2021-08-21 16:10:30,2021-08-21 16:16:28,IP Address,23.28.110.182,100,357,True,2021-08-21 16:16:28,R_3PLysRzoIpOHZhi,,,,,42.33099365234375,-83.37850189208984375,anonymous,EN,61213f03d6b25f6751481683,Yes,,3,,1.337,66.84,67.543,6,"I thought that I had done enough research on a car I bought. Upon buying it I found out that it has a lot of problems. Soon, I was set back $5000 in repairs and still have more to fix. I am beyond stressed as money is tight. ",Yes,Do survey’s online to make enough money.,Donate plasma.,"Pick up a second job. ","Refigure budget. ","Sell the car and accept the loss. ",Ask someone for money.,Slowly pay off the car.,5,7,1,7,4,2,3,,,,,3.581,14.324,16.078,6,5.352,53.522,54.16,4,"I am in debt because of a car. The car is broken down and has issues, and I just bought it. I already put a lot of money into it. ",No,4,6,4,8,3,3,8,,,,,,,,,,,,,,,,,,,,,,3,No,Never,I am,23,Male,,Technical/community college,yes,IChing,false,false,false,false,false,false,false,,,,,,,
2021-08-21 16:13:53,2021-08-21 16:16:29,IP Address,73.158.132.56,100,155,True,2021-08-21 16:16:30,R_2q1vofThbiL9Ks7,,,,,36.6703948974609375,-121.6591949462890625,anonymous,EN,6111461df9d3fef3280230b8,Yes,,,5,1.78,30.557,31.409,2,"My partner has been talking to other women and spending more time with other people than me. ",Yes,Leave him,Communicate,Date nights,Group dates,,,,3,7,9,1,,,,,,,,0,0,7.07,0,1.169,17.1,17.948,7,Maybe I’m overreacting,No,3,9,9,5,,,,,,,,,,,,,,,,,,,,,,,,,3,Yes,More than 10 times,I am,21,Female,,Undergraduate degree (BA/BSc/other),no,IChing,false,false,false,false,,,,,,,,,,
2021-08-21 16:09:34,2021-08-21 16:16:57,IP Address,80.2.21.228,100,442,True,2021-08-21 16:16:57,R_zdsw9lbNk0IA1SV,,,,,51.5435028076171875,-0.1732940673828125,anonymous,EN,611f6757f935f97babc092c5,Yes,,3,,1.434,81.98,82.703,4,Wish to sell second home which had elderly relative living in it,No,,,,,,,,,,,,,,,71.681,77.785,182.001,4,,,,,3.054,93.289,94.981,7,"The second house i own is home to an elderly relative, who lives there alone.  He has no desire to leave, so selling the house is not an option at the moment",No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,I am,52,Female,,High school diploma/A-levels,yes,Control,,,,,,,,,,,,,,
2021-08-21 16:03:58,2021-08-21 16:17:12,IP Address,41.115.77.203,100,793,True,2021-08-21 16:17:12,R_7TxOtt7bQQIvhL3,,,,,-29.8556060791015625,31.0449066162109375,anonymous,EN,611dee5aa3b9276de0c69c52,Yes,,,4,1.598,67.376,69.764,10,My problem is not being able to find employment after I have finished my degree,Yes,Keep looking for a job,"To continue studying ","To change my career ","Take any type of employment ","To stop looking for a job ",,,8,5,3,6,1,,,,,,,1.211,77.03,203.237,6,5.254,57.679,61.187,5,"Not being able to find an Internship ",No,8,4,5,8,1,,,,,,,,,,,,,,,,,,,,,,,,5,Yes,Never,I am,26,Female,,Graduate degree (MA/MSc/MPhil/other),no,IChing,false,false,false,false,false,,,,,,,,,
2021-08-21 16:08:34,2021-08-21 16:17:22,IP Address,24.126.51.20,100,528,True,2021-08-21 16:17:22,R_3D8e5XspgioiJzz,,,,,39.16949462890625,-76.58409881591796875,anonymous,EN,612150cb1f3323fdf994f848,Yes,,3,,2.638,76.606,77.937,4,"I had recently dropped out of nursing school. I have decided to pursue technology and major in information systems. I am not sure if I am making the right decision regarding my career choices. ",No,,,,,,,,,,,,,,,,,,,43.797,98.037,141.3,7,6.652,52.32,53.544,4,I dropped out of nursing school because I had a change of heart and decided to pursue a degree in Information Systems. I am picking a career that is bound to financially set me up.,Yes,,,,,,,,Gain more experience in the technology by interning and networking.,"Since I have a passion for medicine and technology, I can work in health informatics. Processing and protecting patient's information is a critical part of health informatics.",Focus more on finding a job that aligns with my interest and not on money,,,,,,,,,,,,4,9,10,,,,,5,Yes,1-10 times,I am,21,Female,,Undergraduate degree (BA/BSc/other),yes,IChing,,,,,,,,false,false,false,,,,
2021-08-21 16:01:10,2021-08-21 16:18:00,IP Address,77.131.11.4,100,1010,True,2021-08-21 16:18:01,R_2aS4MC50RGdc1Ia,,,,,48.5854949951171875,7.7418060302734375,anonymous,EN,6116875aaf3dfaa62184910a,Yes,,3,,8.325,124.355,125.78,5,"I am currently living in France and I would be moving to Spain next month for an exchange semester, my level of Spanish is still pretty low and I am worried about how I would get by",Yes,Register for Spanish Classes online before I leave and also. when I get there,Practice Spanish on Duolingo,Watch Spanish Speaking movies with subtitles to help with my learning,,,,,9,7,4,,,,,8.113,167.143,269.559,2,,,,,12.253,233.32,237.164,4,I have an exchange semester abroad; Spain and my level of understanding of the language is minimal. I fear I would have problems with day to day interactions if I do not learn the language soon.,Yes,,,,,,,,Make Spanish friends that would help with my learning process,,,,,,,9,5,4,,,,,8,,,,,,,5,,,I am,26,Male,,Graduate degree (MA/MSc/MPhil/other),yes,Control,false,false,false,,,,,false,,,,,,
2021-08-21 16:10:26,2021-08-21 16:18:05,IP Address,137.25.252.200,100,458,True,2021-08-21 16:18:06,R_3HODmWj4ei0XmKx,,,,,34.135406494140625,-117.5989990234375,anonymous,EN,610b68f31befed6931c10a6f,Yes,,3,,1.768,36.534,37.655,2,"I’ve been talking to a guy recently that’s really cool but I’m afraid to get closer in fear of starting a relationship. ",Yes,Hang out again until it goes bad,Set a boundary now and communicate,Stop talking to him,,,,,8,7,2,,,,,170.947,170.947,181.257,1,,,,,5.404,58.736,59.777,3,"There’s a guy I’ve been talking to for a little bit. He’s cool but my past relationships have caused me to be scared to commit at all and not give anyone a chance. ",Yes,,,,,,,,"Wait it out for a little bit ",,,,,,,6,9,2,,,,,7,,,,,,,4,,,I am,19,Female,,High school diploma/A-levels,yes,Control,false,false,false,,,,,false,,,,,,
2021-08-21 16:13:37,2021-08-21 16:18:09,IP Address,184.151.230.225,100,271,True,2021-08-21 16:18:10,R_24voAvJVR7kVaw8,,,,,49.1320953369140625,-122.81719970703125,anonymous,EN,6111874ced43f26e32add6f9,Yes,,,4,4.788,17.45,20.319,2,"Affording university ",Yes,"Scholarships ",Bursaries,"Summer jobs ",Gap year,Student loans,Honorariums through school volunteering,Community college,9,9,7,2,1,9,0,,,,,11.763,11.763,31.274,1,2.604,38.665,39.335,7,"Changing my mindset on community college could reap many benefits ",No,10,10,3,2,7,9,9,,,,,,,,,,,,,,,,,,,,,,5,Yes,Never,I am,21,Female,,High school diploma/A-levels,no,IChing,false,false,false,false,false,false,false,,,,,,,
2021-08-21 16:05:26,2021-08-21 16:18:12,IP Address,41.13.188.71,100,765,True,2021-08-21 16:18:12,R_21ttb5niDQi0Yco,,,,,-29.8556060791015625,31.0449066162109375,anonymous,EN,611d25977b196077137b42b2,Yes,,5,,1.425,169.685,171.337,18,"I recently got a job offer in another city to work as a nanny. The job will really pay good money but I live with my mom currently who needs me to take care of her as she is older now. So I’m not sure what to do because I don’t want to leave her all by herself. ",No,,,,,,,,,,,,,,,11.952,96.054,183.273,8,,,,,4.564,142.31,143.356,12,"I recently got a job offer in a different city but that would mean I would have to leave my mother who needs special care. I know she will be taken care of if I can find a really good caretaker for her. ",Yes,,,,,,,,"I am thinking of finding a really good caretaker for my mother as I will not be around anymore. ","I have also considered asking some of my family members to take of my mother whilst I am gone. ","Another option is to take her to a really great old age home that will provide her with everything she will need. ",,,,,,,,,,,,10,8,5,,,,,5,,,I am,20,Female,,High school diploma/A-levels,yes,Control,,,,,,,,false,false,false,,,,
2021-08-21 16:17:41,2021-08-21 16:18:44,IP Address,41.113.175.45,100,63,True,2021-08-21 16:18:45,R_2cknGLkDCvYgTj6,,,,,-26.381103515625,27.8376007080078125,anonymous,EN,611d7612a4100806c7e4b5c2,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-21 16:02:41,2021-08-21 16:18:46,IP Address,72.200.229.3,100,965,True,2021-08-21 16:18:47,R_3MG5FPvUEHOITJK,,,,,30.4456939697265625,-91.1800994873046875,anonymous,EN,5b8845cd2fd5c7000101c463,Yes,,5,,3.704,68.055,176.307,12,My roommate and I prefer drastically different temperatures for the air conditioning at our apartment. She likes living in an cold environment with the AC set at around the low 60s while I prefer the AC being set at the mid 70s (Fº). We haven't been able to compromise and set out rules to let us both live comfortably.,Yes,We keep the AC on a higher temperature during the summer and keep it lower in the winters.,We have the AC on higher temperatures during the day and lower temperatures during the night.,One of us moves out and finds a different place to live.,We divide up the days to set the temperature however we want.,We decide on a midpoint temperature that will not be changed.,,,9,4,1,3,8,,,0,0,182.727,0,,,,,16.583,189.723,191.204,5,"My roommate and I have disagreements over the temperature of our central AC due to our drastically different temperature comfort zones. I prefer to set it at a reasonable temperature not just for my own comfort, but also for being frugal with the electricity bill. We have not been able to come to a compromise that we are both happy with.",Yes,,,,,,,,I get a space heater even if it racks up electricity bills.,My roommate turns on the fan and opens the window more.,I wear winter clothes inside the apartment even when it's hot outside.,,,,,9,3,1,1,7,,,6,9,4,,,,,5,,,I am,21,Female,,Undergraduate degree (BA/BSc/other),yes,Control,false,false,false,false,false,,,false,false,false,,,,
2021-08-21 16:09:58,2021-08-21 16:18:55,IP Address,76.218.36.7,100,536,True,2021-08-21 16:18:55,R_3pa9lkokw36Q2mg,,,,,38.9694061279296875,-94.6266021728515625,anonymous,EN,61215755cea9b916eef0a38b,Yes,,,5,4.949,38.45,39.495,3,I need to change my health habits and financial decisions,Yes,Changing my eating habits,Working out and turn more active again,Start cooking at home and not getting fast food as much,Be more active during the day and wake up earlier,stop buying random things online,focus spending at the moment only on priorities,try to work more for more money,10,10,10,10,7,10,5,0,0,182.229,0,,,,,7.628,64.03,72.799,4,"I need to lose weight and for that I need to change my routine and be proactive, and for the money I need to stop shopping as much and make priorities for the money I currently have",No,10,10,10,10,10,10,5,,,,,,,,,,,,,,,,,,,,,,5,,,I am,27,Female,,Undergraduate degree (BA/BSc/other),no,Control,false,false,false,false,false,false,false,,,,,,,
2021-08-21 16:13:34,2021-08-21 16:18:58,IP Address,146.115.29.227,100,324,True,2021-08-21 16:18:59,R_21jtNeLwoZdIflC,,,,,42.4149932861328125,-71.05269622802734375,anonymous,EN,611140097167aaf000905207,Yes,,5,,2.605,39.33,40.043,2,I am currently packing to move back to school but i am beyond broke to afford anything,Yes,Get an on-campus job,get a job outside of campus,"food delivery ",,,,,10,6,3,,,,,,,,,58.116,62.506,107.23,7,6.251,43.157,43.836,4,"I am in need of a job but I have to trust myself and I will succeed ",No,10,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,5,Yes,1-10 times,I am,19,Male,,Undergraduate degree (BA/BSc/other),yes,IChing,false,false,false,,,,,,,,,,,
2021-08-21 16:01:57,2021-08-21 16:19:10,IP Address,105.233.32.194,100,1033,True,2021-08-21 16:19:10,R_22QSxuGb4M3mNvH,,,,,-34.0485992431640625,18.4810943603515625,anonymous,EN,61200f0c9a321cedd7bdf500,Yes,,5,,5.502,248.222,249.674,9,"I have been diagnosed with an eye infection which causes my left eye to have a blurry version. The treatment is surgery which expensive and eye lancers which are a temporal solution . the issue is raising money for the surgey ",Yes,"Find online Jobs like transcribing ","Participate in online surveys ",To a poster and ask for donations,,,,,5,5,10,,,,,,,,,83.693,146.848,206.106,3,8.572,192.96,194.831,11,"I Can not see with one eye but still, I'm blessed with sight on my other arm so I must not  give up ",No,6,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,1,Yes,Never,I am,19,Male,,Secondary education (e.g. GED/GCSE),yes,IChing,false,false,false,,,,,,,,,,,
2021-08-21 16:08:47,2021-08-21 16:19:21,IP Address,37.228.203.46,100,633,True,2021-08-21 16:19:21,R_w7ybQtOzG1l1XP3,,,,,53.33819580078125,-6.25909423828125,anonymous,EN,60fd21894796537d1801395d,Yes,,,3,3.728,150.867,151.677,10,"My superior at work isn’t completing all his tasks; he expects me to finish them for him while not communicating what needs to be done. He doesn’t support me in my role and that and the unfinished jobs that I come across randomly make for a difficult work environment. ",Yes,Speak to superior,"Clearly outline my expectations ",Set boundaries as to what my tasks are,Only do my work and leave his,Inform him of unfinished jobs,,,7,7,7,2,3,,,,,,,0,0,78.887,0,7.549,94.993,96.047,4,"My superior isn’t finishing his tasks and leaves them for me without telling me. I need him to either finish his own work or communicate what he needs help with so we can perform better as a team, and so that I can plan my own work without stumbling across extra tasks throughout the day. ",Yes,,,,,,,,Ask to be informed of unfinished tasks,Be more involved in general workload,,,,,,7,5,6,2,3,,,6,7,,,,,,4,Yes,1-10 times,I am,27,Female,,High school diploma/A-levels,no,IChing,false,false,false,false,false,,,false,false,,,,,
2021-08-21 16:13:22,2021-08-21 16:19:25,IP Address,82.27.227.213,100,363,True,2021-08-21 16:19:26,R_XgDzDo5NLToUjkJ,,,,,51.57470703125,-1.7823028564453125,anonymous,EN,5ff78ee056bc4348a7c3f77b,Yes,,5,,1.961,41.802,42.543,2,Going into final 2 years of university and working out how to take the next steps in my career.,Yes,"Working hard ",Doing my own research,"Asking for advice ",,,,,8,9,6,,,,,0,0,183.954,0,,,,,3.737,15.059,15.717,2,"Trying to work out what to do after university ",No,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,I am,20,Female,,Undergraduate degree (BA/BSc/other),yes,Control,false,false,false,,,,,,,,,,,
2021-08-21 16:13:50,2021-08-21 16:19:30,IP Address,105.186.76.213,100,339,True,2021-08-21 16:19:30,R_1j9PhwPLX4vGgVj,,,,,-25.7599029541015625,28.260406494140625,anonymous,EN,611f58d115ee130248880ec2,Yes,,3,,5.82,31.663,33.123,2,Being consistent in exercising.,Yes,Have body goals.,Look at others for motivation.,Think about the health benefits I would reap from investing into my body.,,,,,10,7,8,,,,,,,,,15.553,15.553,19.801,1,7.375,26.639,29.158,2,Being consistent in exercising.,Yes,,,,,,,,Having body goals.,Look at others for motivation.,Look at the health benefits.,,,,,10,7,8,,,,,10,7,8,,,,,5,Yes,Never,I am,22,Male,,High school diploma/A-levels,yes,IChing,false,false,false,,,,,false,false,false,,,,
2021-08-21 16:07:23,2021-08-21 16:20:07,IP Address,102.65.76.29,100,763,True,2021-08-21 16:20:07,R_e5Jigqj4cuaJpDz,,,,,-26.381103515625,27.8376007080078125,anonymous,EN,611cf1657884bafc85dec3b1,Yes,,3,,9.238,145.615,147.945,2,Communicating. I struggle with 'speaking my mind' in my relationships. I usually overthink things and conversations in my head before saying anything and this results in me 'concluding' things in my head on my own and not proceeding to communicate to related person. Its currently a major problem in my relationship and family.,Yes,Therapy -  Alone and with spouse,writing a letter to the different people,confidence boosting books/seminars,,,,,10,6,8,,,,,,,,,0,0,2.236,0,26.355,182.852,186.241,2,I'm struggling with communication in my relationships. I wish I could afford therapy and resolve past traumas before attempting new long term relationships. It's also affecting other parts of my life and self confidence.,Yes,,,,,,,,Just speak - see how its received.,Take offense less in conversations,,,,,,10,3,8,,,,,9,8,,,,,,4,No,Never,I am,29,Female,,Undergraduate degree (BA/BSc/other),yes,IChing,false,false,false,,,,,false,false,,,,,
2021-08-21 16:06:26,2021-08-21 16:20:10,IP Address,41.116.98.245,100,823,True,2021-08-21 16:20:10,R_AFfbCxQarOCO5gJ,,,,,-26.2332000732421875,28.3643951416015625,anonymous,EN,1973,Yes,,4,,7.47,151.115,152.185,9,"My problem with coleque sometimes she talk well sometimes she keeps 🤫 not knowing what is wrong ",Yes,"I asked her why is she behaving this way? ","She told me that she has moments ot quietness ",,,,,,7,5,,,,,,18.716,161.022,181.538,10,,,,,8.413,144.653,145.273,4,"My coleque who sometimes does not talk to me , I decided to let her continue with her behavior because when I confronted her she said she doesn't see any problems with what she's doing ",No,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,I am,45,Female,,Graduate degree (MA/MSc/MPhil/other),yes,Control,false,false,,,,,,,,,,,,
2021-08-21 16:12:41,2021-08-21 16:20:16,IP Address,2.96.212.180,100,454,True,2021-08-21 16:20:16,R_Tei43brwc0QZbEZ,,,,,53.7458038330078125,-1.3760986328125,anonymous,EN,611dc040b95c3258f902a3d6,Yes,,3,,2.294,53.227,55.352,8,"I am looking for a new job in a different industry but I have no idea what I would be good at. ",Yes,Been to a job workshop,"Asked my partner what I would be good at ",,,,,,4,4,,,,,,10.858,161.237,181.951,6,,,,,4.69,60.652,61.683,6,"Wanting to change jobs but now know what I would be good at to change to. ",No,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,I am,32,Male,,High school diploma/A-levels,yes,Control,false,false,,,,,,,,,,,,
2021-08-21 16:11:09,2021-08-21 16:20:46,IP Address,90.219.238.13,100,577,True,2021-08-21 16:20:47,R_BXmYdEsVWzalTB7,,,,,51.532196044921875,-0.097900390625,anonymous,EN,612034b15e44996247afad72,Yes,,,5,10.309,46.332,47.205,6,"Not saving enough money for a house deposit ",Yes,"Stop buying things I don't need ","Cut down on spending on food ","Cut down on budget for days out ","Lower outgoings by looking at other providers ","Save in a ISA so I can't withdraw money ","Do not use a credit card or any buy now pay later options as I overspend ","Set a budget for food and clothes each month ",5,2,7,8,5,1,5,0,0,182.807,0,,,,,20.758,45.312,46.142,4,"Cut down on current spending to save more money for a house deposit. ",No,5,2,2,9,1,1,9,,,,,,,,,,,,,,,,,,,,,,5,,,I am,21,Female,,Secondary education (e.g. GED/GCSE),no,Control,false,false,false,false,false,false,false,,,,,,,
2021-08-21 16:09:02,2021-08-21 16:21:21,IP Address,197.245.217.83,100,739,True,2021-08-21 16:21:22,R_2rA593UBGsCpHlz,,,,,-26.381103515625,27.8376007080078125,anonymous,EN,611ce9ba719399cc0b6337c9,Yes,,5,,4.581,138.211,141.93,3,"The girl I so dearly love doesn't get me nor notice my efforts about how I wanna be with her and I can't just move on I love her ",No,,,,,,,,,,,,,,,0,0,181.713,0,,,,,7.308,109.221,110.868,2,The way I love the girl I can not just give up although she gives me mixed emotions.,Yes,,,,,,,,Will get someone close to her to get trough her.,Going to keep texting her till she sees my efforts.,,,,,,,,,,,,,8,4,,,,,,3,,,I am,20,Male,,Undergraduate degree (BA/BSc/other),yes,Control,,,,,,,,false,false,,,,,
2021-08-21 16:08:35,2021-08-21 16:21:32,IP Address,69.251.97.21,100,777,True,2021-08-21 16:21:33,R_2to47PSzf0w7ewC,,,,,39.01300048828125,-76.67420196533203125,anonymous,EN,6111a509a1b9a95383ebc91c,Yes,,,4,7.132,35.068,36.76,3,I live to far from my siblings and would like to have a better relationship with them.,Yes,Do online school.,Find an apartment together.,Move out.,Call more.,Text more.,Attitude change.,Plan a vacation together.,1,1,1,8,8,10,3,0,0,184.636,0,,,,,19.593,118.512,118.809,8,A relationship with your siblings is very important in your adult life especially without parents around. To further connect it would be beneficial to reach out more and make more of an effort.,No,1,2,1,10,9,10,2,,,,,,,,,,,,,,,,,,,,,,4,,,I am,18,Female,,High school diploma/A-levels,no,Control,false,false,false,false,false,false,false,,,,,,,
2021-08-21 16:13:48,2021-08-21 16:21:45,IP Address,197.185.100.230,100,476,True,2021-08-21 16:21:45,R_6VT5prXlndNdpfz,,,,,-26.381103515625,27.8376007080078125,anonymous,EN,6116ee8fcd5414630d3527e8,Yes,,5,,2.971,24.99,26.21,3,I need to get myself out of debt,Yes,Stop applying for more credit,Make extra income,"find a new income stream ",Get a better paying job,,,,8,10,10,10,,,,,,,,4.801,144.775,155.254,3,3.308,36.725,38.138,3,It is a big task to get rid of debt in totality,No,8,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,3,No,Never,I am,29,Male,,Undergraduate degree (BA/BSc/other),yes,IChing,false,false,false,false,,,,,,,,,,
2021-08-21 16:11:16,2021-08-21 16:22:01,IP Address,73.252.186.138,100,645,True,2021-08-21 16:22:02,R_2rUYvzyyTvga7o5,,,,,37.993499755859375,-121.70149993896484375,anonymous,EN,61215e0af8bad27d8bee8487,Yes,,4,,1.973,106.974,109.423,4,"My significant other wants me to move in with him before I feel ready. I've expressed my concerns and my reasoning for wanting to wait. Occasionally he tells me that this could potentially lead to us breaking up if I don't move in sooner. Do I choose to follow my gut and wait until I'm ready with the risk of losing him, or risk getting in over my head and moving before I'm ready. ",Yes,Hope he understands and we wait to move in.,"Move in before I am ready. ",Come up with an appropriate timeframe convenient to us both.,"stay home on weekdays, live with him weekends",,,,8,2,9,3,,,,0,0,182.476,0,,,,,7.469,72.843,73.987,2,"Two things came to mind. If we're meant to be, everything will work out for the best. Whether we move in together in a few months, or a year, we will eventually be happier then. The second thing is if he's willing to leave me over something like this, will the relationship even work out in the long run? ",Yes,,,,,,,,"Move in after getting my AA and transferring. ",,,,,,,7,1,8,2,,,,10,,,,,,,5,,,I am,22,Female,,Technical/community college,yes,Control,false,false,false,false,,,,false,,,,,,
2021-08-21 16:14:48,2021-08-21 16:22:03,IP Address,72.141.146.168,100,434,True,2021-08-21 16:22:03,R_3R43LxikF4MHcvB,,,,,43.6425933837890625,-79.40019989013671875,anonymous,EN,610b57c0a3ef5650aa49e8ce,Yes,,,5,6.846,26.815,27.894,2,"Not happy with my work situation, still trying to find out what I like to do.",Yes,Go back to school for something I like.,Find a new job in a related field and try something new.,Volunteer at a few places until I can find a new interest.,,,,,2,8,4,,,,,189.864,189.864,190.499,1,,,,,5.895,45.296,46.493,2,"My problem is that I'm not sure what I want to do with my life and my career. I'm not happy in my current position and need to find a job that is more fulfilling. ",No,4,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,I am,25,Female,,Undergraduate degree (BA/BSc/other),no,Control,false,false,false,,,,,,,,,,,
2021-08-21 16:17:48,2021-08-21 16:22:34,IP Address,192.133.84.5,100,285,True,2021-08-21 16:22:35,R_z0cVsW4REK1fxU5,,,,,42.022796630859375,-91.65720367431640625,anonymous,EN,6107ef29a3bfb9482098ceea,Yes,,,3,1.191,53.228,54.225,6,I just moved back to college and my roommate that I've lived with for 3 years now is acting different and not inviting me to do anything but my other roommate who is really only her friend does.,Yes,I could talk to her about,I could just get used to this new normal,,,,,,7,4,,,,,,,,,,0,0,71.215,0,0.911,42.796,45.573,2,It would be better to talk to her about why she's acting differently but she probably wouldn't even notice that she is and I think it would just make her and me upset,No,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Yes,1-10 times,I am,20,Female,,High school diploma/A-levels,no,IChing,false,false,,,,,,,,,,,,
2021-08-21 16:16:50,2021-08-21 16:22:38,IP Address,68.0.230.59,100,347,True,2021-08-21 16:22:38,R_2YIYtKI2Gpt8wJQ,,,,,41.9900054931640625,-72.641998291015625,anonymous,EN,612036359d7ea736aba45522,Yes,,3,,1.95,25.899,26.693,2,"I feel as though my friends do not reach out to me nearly as much as I do, so I've stopped reaching out and feel I don't have any true friends.",Yes,These people are not real friends - stop talking to them,Communicate to them that you feel they aren't putting effort in and it hurts your feelings,Reach out and ask how they're doing,,,,,10,7,2,,,,,0,0,181.282,0,,,,,2.921,25.982,26.859,2,I feel as though the people I thought were friends are not truly friends; they only reach out when they need something. I put in far more effort than they do.,No,10,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,I am,25,Female,,Graduate degree (MA/MSc/MPhil/other),yes,Control,false,false,false,,,,,,,,,,,
2021-08-21 16:09:45,2021-08-21 16:22:47,IP Address,148.63.247.145,100,781,True,2021-08-21 16:22:47,R_3DikZ9zF1XHowfo,,,,,41.169097900390625,-8.6793060302734375,anonymous,EN,611c5f2faf7a503e961833e6,Yes,,,4,4.102,33.543,34.187,4,Mostly insecurities about myself  and the way i am,Yes,Take closer look at my successes in life,Dont care much about outside opinions,Be able to focus on future objectives,,,,,6,5,6,,,,,,,,,0,0,48.402,0,2.637,294.777,296.038,7,Insecurities is a bad thing to have so my ways of dealing with it is basicly trying to believe more in myself and my skills,No,7,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,4,No,Never,I am,19,Male,,High school diploma/A-levels,no,IChing,false,false,false,,,,,,,,,,,
2021-08-21 16:09:27,2021-08-21 16:22:57,IP Address,174.27.159.4,100,809,True,2021-08-21 16:22:57,R_27erKwbpqvF3vPQ,,,,,43.5780029296875,-116.2953948974609375,anonymous,EN,611e0a81b5dc862445afeb33,Yes,,,3,8.098,53.675,55.308,2,low sexual activity with spouse,Yes,religion,hospital,psycologist,strip house,"masturbation ",porn,intimacy,6,6,5,2,2,3,7,0,0,196.446,0,,,,,20.277,50.146,51.864,3,I am not having enough sex with my wife,No,7,7,5,3,3,3,8,,,,,,,,,,,,,,,,,,,,,,3,,,I'd prefer not to answer,,Male,,Graduate degree (MA/MSc/MPhil/other),no,Control,false,false,false,false,false,false,false,,,,,,,
2021-08-21 16:08:41,2021-08-21 16:23:12,IP Address,154.127.120.202,100,871,True,2021-08-21 16:23:13,R_2wp10SG0PjNo5YB,,,,,-26.381103515625,27.8376007080078125,anonymous,EN,611d1f368963d7765141a72f,Yes,,3,,4.001,43.393,48.018,6,I have an alcohol problem.,Yes,I have talked to someone,I have planned to stop buying alcohol,I have started to take a new hobby,Reduce going to parties,Stopped spending time with some people,,,8,9,8,10,8,,,0,0,194.177,0,,,,,21.252,162.741,164.801,8,"I have an alcohol problem and I drink when academics give me stress. I have thought of quitting alcohol permanently, and I take a new hobby and talk to someone I might reduce alcohol intake.",No,10,9,10,8,6,,,,,,,,,,,,,,,,,,,,,,,,4,,,I am,22,Male,,High school diploma/A-levels,yes,Control,false,false,false,false,false,,,,,,,,,
